"SITEID","SITENAME","SITEDESCRI","SITETYPE","SITESTATUS","POSTCODE","DIRECTIONS","W3W","X","Y","CATEGORY"
"12018","BROADWOOD",".","Water Treatment Works","Abandoned","TA24 6TA","TAKE A396 DUNSTER TOWARDS TIMBERSCOMBE 0.4 MILES FROM DE-RESTRICTION SIGN (30 MPH) TURN LEFT SIGNPOSTED LUXBOROUGH 0.25 MILES TAKE LEFT FORK SIGNPOSTED BROADWOOD FARM 0.5 MILES PART ON FORESTRY TRACK TURN RIGHT SITE IS IMMEDIATELY ON LEFT","cleanser.belt.firelight","297881","141387","Suppl"
"12019","BUCKLAND NEWTON",".","Water Treatment Works","Abandoned","DT2 7DD","THE STATION IS LOCATED 1 KM TO THE NORTH OF THE VILLAGE OF BUCKLAND NEWTON ON A MINOR ROAD WHICH LIES TO THE WEST OF THE B3143 THE ROUTE FROM THE B3143 IS VIA THE B3146 (TO CLANVILLES WOOTTON) FOR 1/2 KM FOLLOWED BY FIRST LEFT TURN INTO THE MINOR ROAD TH","treaty.ankle.zips","369100","106100","Suppl"
"12020","BULBRIDGE",".","Water Treatment Works","Out of Service","SP2 0ND","FROM ROUNDABOUT IN WILTON FOLLOW SIGNS FOR SHAFTESBURY (A30) AT TRAFFIC LIGHTS IN WILTON TURN SHARP LEFT FOLLOWING SIGNS FOR BROADCHALKE AND BISHOPSTONE CARRY ON THIS ROAD FOR ABOUT A MILE TO THE BEGINNING OF A LONG STRAIGHT THE BUILDING IS ON THE RIGHT","pipeline.extension.intestine","408997","130017","Suppl"
"12021","CALSTONE",".","Water Treatment Works","Abandoned","SN11 8PZ","LEAVING CALNE ON THE A4 TRAVELLING EAST YOU WILL COME TO A WIDE STRAIGHT SECTION OF ROAD JUST AFTER LEAVING THE BUILT UP AREA ALONG THIS STRAIGHT YOU WILL SEE A SIGNPOST FOR CALSTONE WELLINGTON TURN RIGHT DOWN THIS ROAD AND PROCEED ALONG FOR ABOUT A MILE","package.counts.dupe","402864","168603","Suppl"
"12022","CANAL","ALBERT STREET","Source","In Use","TA6 7ET","FROM ROUNDABOUT AT JUNCTION OF A38 TAUNTON ROAD AND A39 MINEHEADROAD TAKE ROAD WEST TOWARDS MINEHEAD 100M BEFORE END OF DUAL CARRIAGEWAY AND IN SIGHT OF TRAFFIC LIGHTS TURN LEFT INTO ALBERT STREET AT 150M CROSS CANAL BRIDGE AND TURN LEFT ON TO CANAL TOW","jukebox.head.drums","329518","136586","Suppl"
"12023","CASTLE CARY",".","Water Treatment Works","Sold","BA7 7EG","THE STATION IS SITUATED AT THE END OF A FARM TRACK OFF PARK ST. CASTLE CARY (B3152) . WITH THE POND ON LEFT, TURN LEFT INTO UNMARKED TRACK IMMEDIATELEY NEXT TO POND. TURN LEFT INTO FARM AND FOLLOW ROUND TO RIGHT. PASS THROUGH 2 GATES TO PUMPING STATION A","baseballs.feuds.stays","364171","131987","Suppl"
"12024","CASTLETON",".","Source","In Use","DT9 3RY","THE STATION IS LOCATED OFF OBORNE ROAD, SHERBORNE ON THE B3145 EAST OF TOWN CENTRE VIA LONG STREET THE B3145 CONNECTS TO THE YEOVIL TO SHERBORNE ROAD (A30)","awaited.evaded.spreading","364600","116941","Suppl"
"12025","CATTISTOCK","WARDON HILL","Water Treatment Works","In Use","DT2 0JJ","THE STATION IS LOCATED AT LANKHAM BOTTOM OFF THE STAGS FOLLY TO CATTISTOCK ROAD (3/4 KM) STAGS FOLLY IS ON THE YEOVIL TO DORCHESTER ROAD (A37). OFF A37 FROM YEOVIL TAKE TURNING TO RIGHT SIGNED CATTISTOC,CHANTMARLE. LOOK FOR 2 GATES,SIDE BY SIDE, ON LEFT(","moped.launched.producers","361010","100160","Suppl"
"12026","CHARLTON","1 2 AND WTW","Water Treatment Works","In Use","SN16 9DP","TURN RIGHT AT THE LOTUS GARAGE... TAKE THE A429 ROAD TO MALMESBURY AT THE ROUNDABOUT ON THE NORTH SIDE OF THE TOWN TAKE THE RIGHT HAND EXIT WHICH IS THE B4040. FOLLOW THIS ROAD FOR ABOUT 2 & 1/2 MILES AND YOU WILL PASS THROUGH THE VILLAGE OF CHARLTON ABO","dugouts.error.record","397236","189122","Suppl"
"12027","CHERHILL",".","Water Treatment Works","In Use","SN11 8XN","TRAVEL EASTWARDS FROM CALNE ON THE A4 UNTIL YOU REACH CHERHILL FROM WHERE YOU CAN SEE THE WHITE HORSE ON THE HILL TO YOUR RIGHTCARRY ON A COUPLE OF HUNDRED YARDS PAST CHERHILL AND ON YOUR RIGHT YOU WILL SEE A TRACK SIGNPOSTED OLDBURY CASTLE TURN UP THIS","supreme.sprouted.another","404799","169701","Suppl"
"12028","CHIPSTABLE",".","Water Treatment Works","Sold","TA4 2PZ","TAKE A361 (B3227) WIVELISCOMBE TO BAMPTON AT WATERROW 2.5 MILES FROM WIVELISCOMBE OVER RIVER BRIDGE IMMEDIATE RIGHT TURN AT ROCK INN AT 0.25 MILE TURN LEFT SIGNPOSTED CHIPSTABLE 0.75 MILE TAKE RIGHT FORK 0.5 MILE TO CHIPSTABLE TAKE RIGHT AND RIGHT AT JUN","elsewhere.shadow.voter","304413","127283","Suppl"
"12029","CHIRTON","CHIRTON BOTTOM","Water Treatment Works","In Use","SN10 3QG","FROM SALISBURY TAKE A360 ROAD TOWARD DEVIZES ON REACHING WEST LAVINGTON YOU WILL COME TO CROSS ROADS IN THE CENTRE OF THE VILLAGE TURN RIGHT HERE ONTO THE B3098 TOWARD MARKET LAVINGTON YOU THEEN PASS THROUGH EASTERTON AND URCHFONT AND COME TO THE JUNCTIO","vesting.tastier.junior","406774","155640","Suppl"
"12030","CHITTERNE","MIDDLE BOTTOM FARM","Water Treatment Works","In Use","BA12 0LF","FROM SALISBURY RING ROAD TAKE A36 ROAD TO WARMINSTER PASSING THROUGH WILTON SOUTH NEWTON AND STAPLEFORD THEN PASS OVER THE A303 ABOUT ANOTHER 4 MILES AT CODFORD TAKE THE FIRST TURNING RIGHT THIS LEADS TO CHITTERNE WHICH IS ABOUT 4 MILES ON REACHING CHITT","saves.giggles.culminate","399607","144873","Suppl"
"12031","CLARENDON","NO 2","Source","In Use","SP5 3BU","FROM SALISBURY RING ROAD TAKE A36 SOUTHAMPTON ROAD AFTER ABOUT ONE AND A HALF MILES TAKE VERY SHARP LEFT HAND BEND AT PETERSFINGER FOLLOW ROAD UNDER RAILWAY BRIDGE FOR ABOUT A MILE AT NEXT JUNCTION TAKE RIGHT HAND FORK KEEP STRAIGHT ALONG THIS ROAD UNTIL","stun.jungle.surnames","418377","130672","Suppl"
"12032","CLARENDON","CLARENDON PARK","Water Treatment Works","In Use","SP5 3BT","FROM SALISBURY RING ROAD TAKE A36 SOUTHAMPTON ROAD AFTER ABOUT ONE AND A HALF MILES TAKE VERY SHARP LEFT HAND BEND AT PETERFINGER FOLLOW ROAD UNDER RAILWAY BRIDGE FOR ABOUT A MILE AT NEXT JUNCTION TAKE RIGHT HAND FORK KEEP STRAIGHT ALONG THIS ROAD UNTIL","garage.future.advice","417455","130147","Suppl"
"12033","CLATWORTHY",".","Source","In Use","TA4 2EJ","FROM WIVELISCOMBE ON B3227 (WAS A361) TAKE UNCLASSIFIED ROAD NORTH FROM THE SQUARE THROUGH LANGLEY MARSH PASS MAUNDOWN FILTER STATION CONTINUE THROUGH HUISH CHAMPFLOWER PASS CASTLE INN ON LEFTCONTINUE 1 MILE TOWARDS CLATWORTHY VILLAGE TURN LEFT AT 0.1 MI","spans.trouble.blunt","304151","131721","Suppl"
"12034","CLIFTON MAYBANK",".","Source","In Use","BA22 9UZ","THE STATION IS LOCATED ON THE SOUTH BANK OF THE RIVER YEO AT CLIFTON MAYBANK. CLIFTON MAYBANK IS EAST OF STOFORD AND 3 KM SOUTH OF YEOVIL","limes.fakes.last","357764","113897","Suppl"
"12035","CODFORD",".","Water Treatment Works","In Use","BA12 0JX","FROM SALISBURY RING ROAD TAKE A36 FOR WARMINSTER PASSING THROUGHWILTON SOUTH NEWTON AND STAPLEFORD CROSS OVER THE A303 AND CONTINUE ON FOR ABOUT THREE MILES YOU WILL THEN SEE A LEFT HAND TURN SIGNPOSTED BOYTON TURN DOWN HERE YOU WILL COME TO A SHARP RIGH","bounding.freshest.fools","395339","140096","Suppl"
"12036","COMPTON",".","Water Treatment Works","In Use","SN9 6BA","FROM SALISBURY RING ROAD TAKE A345 FOR AMESBURY FOLLOW THIS ROA THROUGH AMESBURY DURRINGTON AND NETHERAVON AFTER PASSING NETHERAVON YOU WILL COME TO A SMALL VILLAGE CALLED ENFORD ABOUT THREE QUARTERS OF A MILE PAST ENFORD YOU WILL SEE A TRACK ON THE LEFT","landscape.quintet.relies","412726","151961","Suppl"
"12037","COMPTON DURVILLE","SOUTH PETHERTON","Water Treatment Works","In Use","TA13 5ER","TURN OFF A303 (ILMINSTER - ILCHESTER SECTION) INTO SOUTH PETHERTON. FOLLOW SIGN POSTS TO COMPTON DURVILLE. AFTER PASSING THROUGH S.PETHERTON STAY ON ROAD AND GO PAST TURNING ON RIGHT SIGNPOSTED COMPTON DURVILLE. AT 'T' JUNCTION TURN LEFT AND ALMOST IMMED","headboard.bolsters.angry","341744","117073","Suppl"
"12038","CORFE MULLEN",".","Water Treatment Works","In Use","BH21 3RG","LEAVE POOLE ON THE B3074 ROAD TO BROADSTONE PROCEED THROUGH BROADSTONE AND CONTINUE ON THROUGH TO CORFE MULLEN JUST BEFORE THE JUNCTION WITH THE WIMBORNE TO BLANDFORD ROAD (A31) TAKE SHARP LEFT HAND TURN INTO KNOLL LANE PUMPING STATION CAN BE FOUND ABOUT","shuttered.sample.await","397400","98200","Suppl"
"12039","CORSCOMBE",".","Distribution Site","In Use","DT2 0NZ","FROM A356 HEADING TOWARDS CREWKERNE FROM DORCHESTER TAKE 2ND RIGHT TURNING THAT IS SIGNED TO CORSCOMBE. WILL THEN GO DOWN STEEP HILL. GO NEARLY AS FAR AS CORSCOMBE( IF YOU GET TO LOWER FARM ON THE LEFT - YOU HAVE GONE TOO FAR) JUST PAST A 7 BARRED GATE T","crystals.panic.giants","351390","105325","Suppl"
"12040","MALMESBURY","COWBRIDGE","Source","In Use","SN16 9LZ","TAKE A429 ROAD TO MALMESBURY. ON ENTERING THE TOWN TAKE RIGHT HAND EXIT OFF THE ROUNDABOUT WHICH IS THE B4042. FOLLOW THIS ROAD FOR ABOUT HALF A MILE AND THE STATION IS SITUATED ON THE RIGHT HAND SIDE AT THE BOTTOM OF A HILL","highbrow.good.router","394230","186349","Suppl"
"12041","SALISBURY","DEANS FARM","Source","In Use","SP4 6AD","FROM SALISBURY RING ROAD TAKE A345 ROAD TO AMESBURY AFTER ABOUT 300 YARDS TAKE LEFT HAND FORK TO STRATFORD SUB CASTLE FOLLOW THIS ROAD TOR ABOUT TWO MILES TO WHERE THE ROAD TAKES A LEFT TURN AS THE ROAD TURNS LEFT THERE IS ANOTHER ROAD GOING STRAIGHT ON","calendars.unique.isolating","413563","133492","Suppl"
"12042","SALISBURY","DEVIZES ROAD","Water Treatment Works","Abandoned","SP2 7NA","FROM SALISBURY RING ROAD TAKE A360 ROAD WHICH IS DEVIZES ROAD. SITE IS SITUATED ABOUT THREE QUARTERS OF A MILE UP THE HILL ON LEFT HAND SIDE IMMEDIATLY BEFORE MINI ROUNDABOUT. (POST OFFICE ON RIGHT SIDE NEARLY OPPOSITE STATION)","soup.page.crust","413305","130823","Suppl"
"12043","DEWLISH",".","Water Treatment Works","In Use","DT2 7LT","THE STATION IS 6 KM NORTH EAST OF PUDDLETOWN ON THE A35 (DORCHESTER-POOLE) ROAD THE ROUTE FROM PUDDLETOWN IS BY THE A354 (1/2 KM) FOLLOWED BY LEFT TURN INTO B3142 THEN 1 1/2 KM UNTIL RIGHT TURN TO DEWLISH (4 KM) THE STATION IS 1 1/2 KM NORTH OF DEWLISH F","vandalism.followers.elevated","377876","99624","Suppl"
"12044","CHAPMANSLADE","DIVERS BRIDGE CORSLEY","Source","In Use","BA12 7QF","FROM ROUNDABOUT ON THE WARMINSTER BY-PASS TAKE A362 ROAD TO FROME. AFTER ABOUT ONE AND THREE QUARTER MILES YOU WILL COME TO A RIGHT HAND TURN FOR CORSLEY TURN DOWN THIS ROAD AND PROCEED UNTIL YOU COME TO A CHURCH ON YOUR RIGHT. AT THE SIDE OF THE CHURCH","patting.pepper.momentous","382721","146981","Suppl"
"12045","DODINGTON","BOOSTER","Distribution Site","In Use","TA5 1LF","TAKE A39 BRIDGEWATER TO MINEHEAD 1 MILE PAST NETHER STOWEY TAKERIGHT TURN AT CROSS ROAD (NOTE TURNING IS DIFFICULT TO SEE ON BROW OF HILL) CONTINUE 0.4 MILES ROAD JUNCTION TO LEFT SUCTION RESERVOIR ON RIGHT IMMEDIATELY BEFORE JUNCTION PUMPING STATION IS","congratulations.knots.expectant","317702","140635","Suppl"
"12046","DOMMETT","RADIO LINK","Radio Station","Abandoned","TA20 3JJ","THE SITE IS LOCATED NR WHITES FARM DOMMETT AND IS APPROX 4 KM WEST OF BROADWAY NR ILMINSTER ALSO 2 KM NORTH OF A303 (EAGLE TAVERN JUNC) TRUNK ROAD ON A303 WESTBOUND TURN RIGHT AT EAGLE TAVERN, TAKE 2ND RIGHT SIGN POST DOMMETT.","steam.founding.radiates","328327","115034","Other"
"12047","DONHEAD","TELEMETRY MONITORING STATION","Distribution Site","In Use","SP7 9LY","FROM IVY CROSS ROUNDABOUT AT SHAFTESBURY FOLLOW SIGNS FOR BLANDFORD (A350) AT NEXT ROUNDABOUT TAKE A30 TOWARDS WILTON AFTER TWO AND A HALF MILES YOU WILL PASS A PUB(RISING SUN) ON YOUR LEFT TAKE THE SECOND LEFT TURN AFTER THE PUB AFTER ABOUT 400 YDS YOU","oldest.wisely.salary","389983","122954","Suppl"
"12048","MAIDEN BRADLEY","DUNKERTON","Water Treatment Works","In Use","BA12 7JB","TAKE B3092 ROAD FROM MERE TOWARD FROME UNTIL YOU REACH MAIDEN BRADLEY ABOUT A QUARTER OF A MILE AFTER LEAVING THE OUTSKIRTS OF MAIDEN BRADLEY YOU WILL SEE AN UNMADE TRACK GOING OFF ON THE RIGHT HAND SIDE. TURN DOWN THIS TRACK AND IT WILL TAKE YOU STRAIGH","full.composts.dads","380256","139869","Suppl"
"12049","DURLEIGH",".","Water Treatment Works","In Use","TA5 2AW","FROM BRIDGWATER AT TRAFFIC LIGHTS AT WEST END OF 'THE BROADWAY' DUAL CARRIAGE-WAY TAKE LEFT TURN TOWARDS SPAXTON AND ENMORE AT 1.4 MILES TAKE LEFT TURN TO ENMORE ENTRANCE TO SITE IS ON RIGHT AT BOTTOM OF HILL | 20MIN JOURNEY ON NUMBER 14 BUS FROM BRIDGWA","most.files.pounds","327500","136300","Suppl"
"12050","DURRINGTON",".","Water Treatment Works","In Use","SP4 8BJ","FROM COUNTESS ROAD ROUNDABOUT AT AMESBURY TAKE A345 ROAD AT NEXTROUNDABOUT TURN RIGHT INTO DURRINGTON ABOUT 300 YDS DOWN ROAD YOU WILL FIND A TRACK ON THE RIGHT THIS LEADS STRAIGHT TO THE SITETHE TRACK IS AT SIDE OF FIELD WHICH IS NEXT TO THE FIRST BUILD","fragments.accusing.honeybees","415572","143733","Suppl"
"12051","DORCHESTER","EAGLE LODGE","Source","In Use","DT2 8PR","THE STATION IS SITUATED 1.5 KM EAST OF THE CENTRE OF DORCHESTER ALONGSIDE THE B3150 ROAD THE STATION IS APPROACHED THROUGH AN IRON GATE ADJOINING THE PROPERTY NAMED "EAGLE LODGE" AND IS LOCATED 100 METRES ALONG A ROUGH TRACK WHICH BRANCHES FROM THE SOUTH","coconut.blanks.hologram","370641","91101","Suppl"
"12052","EASTERTON",".","Source","In Use","SN10 4PB","FROM SALISBURY RING ROAD TAKE THE A360 ROAD FOR DEVIZES WHICH WILL TAKE YOU THROUGH SHREWTON AND TILSHEAD. YOU WILL THEN COME TO WEST LAVINGTON. IN THE CENTRE OF WEST LAVINGTON THERE IS A CROSSROADS. TURN RIGHT HERE ONTO THE B3098 SIGNPOSTED MARKET LAVIN","shorter.limits.clinic","402611","154625","Suppl"
"12053","EMPOOL",".","Water Treatment Works","In Use","DT2 8PE","THE STATION IS LOCATED APPROX. 6KM SOUTH EAST OF DORCHESTER AND IS APPROACHED ALONG THE A352 (DORCHESTER-WAREHAM ROAD). AT BROAD-MAYNE ON THE A352 THE ROUTE TO THE SITE FOLLOWS A MINOR ROAD NORTHWARDS THROUGH WEST KNIGHTON FOR 1.5KM. A CONCRETE TRACKWAY","earlobes.junction.valley","374168","87868","Suppl"
"12054","ENGLISHCOMBE","RESERVOIR","Distribution Site","In Use","BA2 9DX","APPROACHING BATH ON THE A367 FROM THE DIRECTION OF RADSTOCK PROCEED THROUGH PEASEDOWN ST JOHN UNTIL YOU COME TO A ROUNDABOUT AT ODD DOWN, TAKE LEFT HAND EXIT. FOLLOW THIS ROAD FOR ABOUT A MILE AND A HALF AND JUST PAST A LARGE SCHOOL YOU WILL SEE ON YOUR","master.obey.codes","371979","162263","Suppl"
"12055","FONTHILL BISHOP",".","Source","In Use","SP3 5SZ","FROM POOLE TAKE THE A350 TO SHAFTESBURY CONTINUE ON THE A350 THROUGH SHAFTESBURY AND THEN EAST KNOYLE UNTIL THE JUNCTION WITH THE A303 (A FURTHER TWO MILES ON) TURN RIGHT ONTO THE A303 (SIGNPOSTED ANDOVER) AND PROCEED FOR ABOUT THREE MILES. TURN RIGHT ON","sweeter.present.renewals","394068","134096","Suppl"
"12056","FORSTON",".","Water Treatment Works","In Use","DT2 7AA","THE STATION IS SITUATED 5KM NORTH WEST OF DORCHESTER ON THE A352ROAD (DORCHESTER-SHERBOURNE) THE SITE IS ON THE WESTERN SIDE OF THE A352 APPROX 1/2KM SOUTH OF THE VILLAGE OF FORSTON","freshen.crest.relieves","366690","94947","Suppl"
"12057","FOVANT",".","Water Treatment Works","In Use","SP3 5JE","FROM SALISBURY TAKE THE A36 TO WILTON AT WILTON ROUNDABOUT TAKE A30 SIGNPOSTED SHAFTESBURY PROCEED ALONG A30 FOR ABOUT SEVEN MILES ON ENTERING THE OUTSKIRTS OF FOVANT THERE IS A TRACK ON THE LEFT FLANKED BY TWO LARGE STONE GATEPOSTS THIS LEADS TO A FARMY","hippy.enlighten.chemistry","401266","128598","Suppl"
"12058","FRIAR WADDON",".","Water Treatment Works","In Use","DT3 4EW","THE STATION IS LOCATED 2KM WEST OF THE WEYMOUTH TO DORCHESTER A354 ROAD NEAR UPWEY THE ROUTE TO THE STATION FOLLOWS THE UPWEY-MARTINSTOWN B3159 FOR 2 KM FROM THE A354 A MINOR ROAD TO PORT-ESHAM BRANCHES WEST FROM THE B3159 AND THE STATION IS LOCATED ON T","raven.adjusted.challenge","365259","85785","Suppl"
"12059","FULWOOD",".","Water Treatment Works","In Use","TA3 7PE","3.25 MILES SOUTH OF TAUNTON TAKE ROAD TO BLAGDON HILL VIA TRULL AND STAPLEHAY. FILTER STATION ON LEFT 0.5 MILE (800M) BEYOND MOTORWAY BRIDGE KEY SSU B TAKE TRULL ROAD OUT OF TAUNTON A38 PAST POLICE STATION. TAKE 2ND LEFT TO TRULL CARRY ON FOR 3 MILES OUT","locals.commit.connector","321223","119749","Suppl"
"12060","GOODSHILL",".","Distribution Site","In Use","SN13 9PP","FROM BATH TAKE A4 TOWARD CHIPPENHAM ON REACHING BOX TURN RIGHT ON A365 TOWARD MELKSHAM FOLLOW THIS ROAD UNTIL YOU GET TO SHAW AT SHARP RIGHT HAND BEND TAKE LEFT TURN ON B3353 SIGNPOSTED CORSHAM FOLLOW ROAD FOR ABOUT ONE AND A HALF MILES AND SITE IS ON TH","reprints.jaunts.reverses","388692","167167","Suppl"
"12061","HELE","HELE BRIDGE","Source","In Use","TA4 1AH","FROM TAUNTON TAKE B3227 (WAS A361) FOR WIVELISCOMBE. JUST AFTER NORTON FITZWARREN TAKE FIRST LEFT ON DISUSED RAILWAY BRIDGE TO ALLERFORD. IN ALLERFORD TURN LEFT FOR HELE OVER RAILWAY LEVEL CROSSING. 0.3 MILES OVER RIVER BRIDGE AT HELE TURN LEFT PUMPING S","chop.voters.rides","318715","124763","Suppl"
"12062","HAWKRIDGE","SPAXTON","Source","In Use","TA5 1AL","FROM BRIDGEWATER TAKE UNCLASSIFIED ROAD TO SPAXTON CONTINUE BEYOND SPAXTON IGNORE LEFT FORK TO MERRIDGE ENTRANCE TO RESERVOIR IS ON RIGHT AT 0.9 MILES FROM SPAXTON","scatters.classic.ballots","321007","136317","Suppl"
"12063","HEYTESBURY","WTW AND RES 1 TO 6","Water Treatment Works","In Use","BA12 0HS","FROM SALISBURY RING ROAD TAKE A36 ROAD FOR WARMINSTER PASSING THROUGH WILTON SOUTH NEWTON AND STAPLEFORD AND THEN CROSSING THE A303 PROCEED ALONG THE A36 FOR ABOUT ANOTHER SIX MILES AND THEREIS A SIGNPOST FOR HEYTESBURY ON YOUR LEFT DIRECTLY OPPOSITE ON","exclusive.property.varieties","392729","144699","Suppl"
"12064","HOLT","NO 2","Source","In Use","BA14 6RW","FROM ROUNDABOUT ON THE A350 AT MELKSHAM TAKE THE B3107 TOWARD BRADFORD ON AVON. PROCEED ALONG THIS ROAD UNTIL YOU REACH THE VILLAGE OF HOLT. AS YOU DRIVE THROUGH THE VILLAGE YOU WILL SEE ON YOUR RIGHT A STREET CALLED THE MIDLANDS. TURN RIGHT INTO THIS ST","bulletins.discusses.breezy","385977","162135","Suppl"
"12065","HOLT","NO 1","Water Treatment Works","In Use","BA14 6QW","FROM ROUNDABOUT ON THE A350 AT MELKSHAM TAKE THE B3107 TOWARD BRADFORD ON AVON PROCEED ALONG THIS ROAD FOR ABOUT THREE AND A HALF MILES AS YOU APPROACH THE VILLAGE OF HOLT. THE STATION IS SITUATED AT THE ROADSIDE ON THE RIGHT.","automate.twit.ears","386985","162597","Suppl"
"12066","HOOKE","FARM","Water Treatment Works","In Use","DT8 3NZ","TAKE A356 DORCHESTER TO CREWKERNE. PASS THROUGH MAIDEN NEWTON AND GO UP HILL. PASS AREA OF PILONS ON LEFT AND JUST AS THEY FINISH, TURN LEFT SIGNPOSTED 'HOOKE'. AT CHURCH TURN RIGHT, SIGNPOSTED 'BEAMINSTER'. TAKE NEXT TURNING ON RIGHT. PASS HOUSES ON RIG","durations.stressed.digital","353379","100590","Suppl"
"12067","HUNTERWICK",".","Distribution Site","Abandoned","BA1 8HG","FROM BATH TAKE A4 TOWARD CHIPPENHAM. AT TRAFFIC LIGHTS ON OUTSKIRTS OF BATH TURN LEFT ON A46 SIGNPOSTED STROUD. AFTER ABOUT THREE AND A HALF MILES, JUST AFTER TOP OF LONG HIL, TAKE FIRST RIGHT TURN SIGNPOSTED ST CATHERINES. FOLLOW THIS ROAD, WHICH IS VER","waxes.dunk.basic","375963","171107","Suppl"
"12068","CHIPPENHAM","IVYFIELDS","Water Treatment Works","In Use","SN15 2RX","APPROACHING CHIPPENHAM ON THE A350 FROM THE SOUTH YOU WILL COME TO A ROUNDABOUT BY THE RAILWAY BRIDGE TAKE THE RIGHT HAND EXIT PROCEED ALONG HERE UNTIL YOU START GOING DOWNHILL TOWARD A SET OF TRAFFIC LIGHTS BEFORE REACHING THE LIGHTS YOU WILL SEE, ON YO","movie.audit.twice","391744","172777","Suppl"
"12069","KINGSWOOD WARREN",".","Water Treatment Works","Abandoned","BA12 6RJ","THE SITE IS LOCATED IN KINGS WOOD (FORESTRY COMMISSION) APPROX 1 KM FROM THE BRUTON TO MAIDEN BRADLEY ROAD ENTRANCE OPPOSITE DRULY HILL FARM THE SITE LIES 7 KM NE OF BRUTON NORTH BREWHAM RES IS 4 KM DOWNSTREAM OF THE STATION ALONGSIDE THE BRUTON ROAD","juniors.joys.political","375799","136308","Suppl"
"12070","LACOCK",".","Water Treatment Works","In Use","SN15 2JY","FROM IVY CROSS ROUNDABOUT SHAFTESBURY TAKE A350 ROAD TO WARMINSTER PROCEED ROUND WARMINSTER BY-PASS AND FOLLOW SIGNS FOR CHIPPENHAM WHICH IS STILL THE A350. AFTER LEAVING MELKSHAM TRAVEL FOR ABOUT SIX MILES PASSING THE FIRST TURNING FOR LACOCK ON THE RIG","camp.stand.flood","391589","168982","Suppl"
"12071","LAKE","THORNFORD","Water Treatment Works","In Use","DT9 6PT","THE STATION IS LOCATED SOUTH OF THE RIVER YEO (100M) AND IS APPROACHED BY A STEEP ACCESS ROAD CONNECTING TO THE SHERBORNE TO THORNFORD ROAD SHERBORNE IS SITUATED 3 KM TO THE NE OF THE SITE","lifestyle.finest.vanished","361300","114200","Suppl"
"12072","LANGDON","BEAMINSTER","Source","Out of Service","DT8 3NN","THE STATION IS LOCATED 2KM SOUTH WEST OF THE DORCHESTER-CREWKERNE ROAD A356 AT A POINT WHERE THE CORSCOMBE-BEAMINSTER ROAD INTERSECTS THE A356 THE ROUTE TO THE STATION FOLLOWS THE BEAMINSTER ROAD FROM THE A356 FOR 2 1/4KM TO THE ENTRANCE TO SHATCOMBE FAR","spine.doormat.narrowest","350100","102300","Suppl"
"12073","LANGRIDGE",".","Water Treatment Works","Abandoned","BA1 9BX","PASSING BATH RACECOURSE ON LANSDOWN ROAD COMING FROM BATH DIRECTIN TAKE FIRST TURNING RIGHT SIGNPOSTED LANGRIDGE GO PAST LANGRIDGE HOUSE ON YOUR LEFT WHERE ROAD GETS VERY NARROW AFTER ABOUT ANOTHER 500 YDS YOU COME TO A SHARP RIGHT BEND ON THE LEFT AS YO","part.gobbles.universally","373129","169827","Suppl"
"12074","COLLINGBOURNE DUCIS","LECKFORD BRIDGE","Distribution Site","In Use","SN8 3ET","FROM SALISBURY RING ROAD TAKE A30 ROAD TOWARDS ANDOVER. AFTER PASSING UNDER RAILWAY BRIDGE YOU WILL COME TO A ROUNDABOUT. TAKE THE FIRST LEFT FORK WHICH IS THE A338 FOR MARLBOROUGH. PROCEED ALONG THIS ROAD PASSING THROUGH ALLINGTON, CHOLDERTON AND TIDWOR","highways.poems.backfired","423765","151867","Suppl"
"12075","LITTON CHENEY","WHITEWAY","Water Treatment Works","In Use","DT2 9AF","THE STATION IS LOCATED 1 KM SOUTH OF THE DORCHESTER-BRIDPORT A35ROAD AT A POINT 6 KM WEST OF WINTERBOURNE ABBAS A STEEP MINOR ROAD DESCENDS FROM THE A35 TO LITTON CHENEY AND APPROX 100 M BEFORE A TEE JUNCTION AT THE FOOT OF THE HILL A CONCRETE TRACKWAY 1","boating.headstone.voices","355413","90816","Suppl"
"12076","LUCCOMBE",".","Water Treatment Works","Sold","BA13 4SH","FROM MINI-ROUNDABOUT IN CENTRE OF WESTBURY, TAKE B3098 EASTWARD AFTER ABOUT TWO AND A HALF MILES YOU COME TO BRATTON VILLAGE AT FAR END OF VILLAGE YOU COME TO A ROAD ON YOUR RIGHT WITH STREET SIGN FOR STRADBROOK, TURN DOWN THIS ROAD AND PROCEED FOR ABOUT","brings.surfer.joystick","392295","152055","Suppl"
"12077","MAGGOT HILL","RES","Distribution Site","In Use","BH20 6EU","LEAVE POOLE ON A35 TOWARDS DORCHESTER. AT BAKERS ARMS ROUNDABOUT TAKE EXIT FIRST LEFT. A352 TO WAREHAM AND THEN TO WOOL. JUST AFTER LEAVING WOOL YOU WILL COME TO BURTON CROSS ROUNDABOUT, TAKE FIRST EXIT LEFT AFTER A FEW HUNDRED YARDS,YOU COME TO A RIGHT","bothered.geek.envisage","383360","85530","Suppl"
